pLV,pLA,pSA,pSV,VLV,VLA,Qav,Qmv,Qs,Qsv
101.67684753815507,2.927666921036911,161.2791960574619,2.1287442105379917,103.49881065415276,43.307341430694585,-0.0,-0.0,91.2035226670184,157.18803376919968
91.24621647106302,2.975796485607789,161.0281602125837,2.119318298136284,103.49881065415276,44.13895182073572,-0.0,-0.0,91.93748688257159,156.89245020837527
80.76578734634074,3.023638132035396,160.77283795345608,2.1103956017727272,103.49881065415276,44.965587394952934,-0.0,-0.0,94.03188063358832,156.60280310841662
70.43959471635488,3.0711927088627946,160.51191770908696,2.101967233165336,103.49881065415276,45.78726281496292,-0.0,-0.0,95.75681540201116,156.32277115330558
60.468670434462275,3.1184637153778736,160.24807383891965,2.0940244698113246,103.49881065415276,46.6040385434811,-0.0,-0.0,96.08329925932458,156.04961231050194
51.047129936998985,3.1654516085398607,159.9852624851635,2.0865587468260562,103.49881065415276,47.41592247611271,-0.0,-0.0,95.10352993599938,155.77758192134564
42.3583931751077,3.2121580323772756,159.72600171369513,2.0795616424045456,103.49881065415276,48.2229430193312,-0.0,-0.0,93.66472739235029,155.502196626819
34.57161376785757,3.2585856830738,159.4702656808139,2.0730248659581996,103.49881065415276,49.02514675935405,-0.0,-0.0,92.65348832138474,155.2225613877947
27.83838589443999,3.304735179685623,159.216205251293,2.0669402538892703,103.49881065415276,49.822544392591354,-0.0,-0.0,92.45519979080117,154.9409073352676
22.28979303615049,3.3506085286887224,158.96175811834948,2.0612997720499937,103.49881065415276,50.615170588092894,-0.0,-0.0,92.86282019749069,154.66039004154015
18.03385602368533,3.396207826321189,158.7059394463716,2.056095520226698,103.49881065415276,51.40306156587003,-0.0,-0.0,93.36497866422202,154.38294646068616
15.15343007155015,3.441533969563207,158.4491307279305,2.0513197340926324,103.49881065415276,52.186232824464014,-0.0,-0.0,93.53590183573213,154.10847455132154
13.704591740425457,3.4865890464333593,158.1924722584185,2.0469647828732658,103.49881065415276,52.96472044186481,-0.0,-0.0,93.26604780474764,153.83545858901928
